Time,Value
0,873.4725102425159
1,571.4329568369907
2,556.5301093697971
3,864.4185501158909
4,791.9200058737225
5,275.9840440201153
6,473.13231354350916
7,646.4581037352691
8,201.78806643016952
9,244.26979346294092
10,321.98758173282727
11,581.7262086786523
12,507.7789113556126
13,362.53942442449403
14,60.88228532353279
15,917.5727999549152
16,791.3278768619293
17,785.2320174948976
18,272.71628552143824
19,299.9376884921849
20,781.0373257662833
21,906.4777151287103
22,652.3617345876393
23,418.5635065670779
24,949.7063631829934
25,339.6019651732942
26,316.0066291350609
27,945.885685259859
28,179.09729184259908
29,954.678283801805
30,557.5964962524639
31,188.99598362043926
32,112.1733627077374
33,725.9108878924884
34,745.4350663229384
35,481.11785778656605
36,275.1863363949075
37,407.0445462264777
38,558.8953819320841
39,224.92641612325116
40,690.1338848458284
41,66.97646821528357
42,792.4431940100576
43,181.63050875834801
44,236.93802180098072
45,610.1115438882616
46,286.78581154657775
47,5.0631029930699185
48,162.97764461461978
49,229.300311359132
50,734.4015124614043
51,230.67271920827156
52,575.0325839717519
53,648.4925488562948
54,216.26433729002395
55,519.5118502300121
56,469.1095403772045
57,208.58634491653305
58,471.5577902167202
59,265.2905593281322
60,769.4431310999762
61,640.4272218233615
62,399.75152468288877
63,193.81304870221226
64,412.66243412037636
65,971.279263683186
66,7.97805092587118
67,582.2209474510338
68,242.79819677314893
69,578.01398215248
70,416.312914566753
71,433.334038384302
72,375.5770840612143
73,171.8134989612375
74,969.6035085693765
75,741.0791506964883
76,702.5070193559441
77,848.1620708972675
78,554.1880970722522
79,739.5336303561104
80,984.9974942212291
81,472.16729112522285
82,517.0471787536518
83,900.8268535068428
84,274.3710096432477
85,54.2161265072411
86,149.269156871983
87,560.5127854346549
88,973.1075763390218
89,506.21771640675775
90,300.59865135765176
91,821.1677453363113
92,330.0985946285063
93,451.7048904123382
94,528.8466118162132
95,848.460161730148
96,874.3025220062058
97,457.8005032236887
98,777.7727642466842
99,567.1827632728057
100,833.168450103059
101,214.09805923640823
102,155.18919257635852
